customer_key,customer_id,email,first_name,last_name,date_of_birth,gender,phone,country,region,state,city,postal_code,address_line1,address_line2,preferred_language,customer_status,registration_date,email_opt_in,sms_opt_in,push_opt_in,effective_date,expiry_date
16,CUST00000014,customer14@email.com,UrsuLey,Deschmidt,1952-05-27,M,+34-923-4736,Spain,East,Valencia,Valencia,59942,765 main street,Suite 158,Spanish,Active,2021-04-04,Yes,No,Yes,2023-04-01,
17,CUST00000015,customer15@email.com,Jean,EastBurg,1971-08-24,F,+41-733-9088,France,North,Hauts-de-France,Lille,28446,836 High Street,,Spanish,Active,2022-10-12,No,No,No,2024-05-27,
18,CUST00000016,customer16@email.com,Kuwom,VonWilson,1987-12-17,M,,,East,,Lyon,,,,,Active,2024-09-23,No,NO,Yes,2024-09-23,2024-09-24
19,CUST00000016,customer16@email.com,Kuwom,VonWilson,1987-12-17,M,,France,East,Auvergne-Rhone-Alpes,Lyon,23010,872 Main Street,,ENGLISH,Active,2024-09-23,Yes,No,Yes,2024-09-24,2024-11-03
20,CUST00000016,customer16@email.com,Kuwom,VonWilson,1987-12-17,M,+46-224-8549,France,East,Auvergne-Rhone-Alpes,Lyon,23010,872 Main Street,,English,Active,2024-09-23,No,Yes,No,2024-11-03,
21,CUST00000017,customer17@email.com,Robonudi,McSmith,1995-02-18,M,+33-869-7932,Spain,East,Valencia,Valencia,22167,389 MAIN STREET,,Spanish,Active,2021-10-25,No,yes,No,2022-03-16,
22,CUST00000018,customer18@email.com,Xuci,LeSchmidt,1960-12-30,F,,,,,,,,,English,Active,2022-07-04,No,No,Yes,2022-09-09,2023-12-26
23,CUST00000018,customer18@email.com,Xuci,LeSchmidt,1960-12-30,F,+39-998-7680,Germany,West,North Rhine-Westphalia,Cologne,84747,,Building C,English,Active,2022-07-04,No,Yes,YES,2023-12-26,
24,CUST00000019,customer19@email.com,Hapaki,NorthBerg,1992-01-07,M,+30-803-9442,Spain,North,Basque Country,San Sebastian,  93549,54 Main Street  ,Unit 424,Italian,Active,2024-09-06,Yes,No,Yes,2024-12-07,
25,CUST00000020,customer20@email.com,Wetaxobu,DiFischer,1978-09-30,M,+43-579-5186,France,West,Pays de la Loire,Nantes,17560,,Floor 13,ENGLISH,Active,2021-06-07,Yes,Yes,No,2021-08-14,
26,CUST00000021,customer21@email.com,Wuta,Vanschmidt,1967-08-12,F,+36-984-9898,Italy,South,Campania,Naples,31041,88 High Street,,French,Active,2024-05-25,Yes,  Yes,No,2024-06-26,
27,CUST00000022,customer22@email.com,Divulim,OWILLIAMS,1966-03-05,F,+41-112-9741,Italy,North,Lombardy,Milan,,268 High Street,apt 139,,Active,2022-01-21,No,Yes,No,2022-01-21,2022-02-12
28,CUST00000022,customer22@email.com,  Divulim,OWilliams,1966-03-05,F,,Italy,North,Lombardy,Milan,79002,268 High Street,,German,  Active,2022-01-21,Yes,Yes,Yes,2022-02-12,2023-02-22
29,CUST00000022,customer22@email.com,divulim,OWilliams,1966-03-05,F,+41-112-9741,United Kingdom,East,Cambridgeshire,Cambridge,69202,364 Main Street,Unit 202,German,Active,2022-01-21,No,Yes,Yes,2023-02-22,
30,CUST00000023,customer23@email.com,Gewinaz,DeAnderson,2005-01-14,M,+34-570-8199,Germany,South,Bavaria,Munich,85749,228 Main Street,,Spanish,Active,2021-05-02,No,Yes,No,2022-03-29,
31,CUST00000024,customer24@email.com,Sucacatu,Lemiller,2003-08-19,F,+37-727-4505,Spain,West,Castile and Leon,Salamanca,37045,153 Main Street,Apt 173,German,Active,2022-06-29,No,No,Yes,2023-11-27,
32,CUST00000025,customer25@email.com,  Kazo,VanJones,1958-03-03,F,+43-474-3527,United Kingdom,West,Bristol,Bristol,48266,217 Main Street,,English,Active,2024-10-08,No,Yes,Yes,2024-12-27,
33,CUST00000026,customer26@email.com,  Tuxesu,Goldbaker  ,1969-07-09,F,+38-954-4343,Germany,West,North Rhine-Westphalia,Cologne,50219,  338 High Street,,French,Active,2021-01-04,Yes,Yes,Yes,2023-05-03,
34,CUST00000027,customer27@email.com,Bali,EastFord,1980-03-20,OTHER,+39-696-4805,Germany,East,Saxony,Leipzig,21504,867 Main Street,,Spanish,active,2021-08-02,No,No,No,2023-09-20,
35,CUST00000028,customer28@email.com,Meguri,VonJones,1993-05-20,F,+40-299-3756,Germany,South,Bavaria,Nuremberg,81405,278 Main Street,Apt 194,French,Active,2021-12-02,Yes,  Yes,Yes,2024-08-19,
36,CUST00000029,customer29@email.com,Patricia,LaAnderson,2000-07-03,F,+44-996-8545,France,West,Pays de la Loire,Nantes,38015,402 High Street,,Spanish,Active,2022-01-24,No,Yes,No,2024-07-06,
37,CUST00000030,customer30@email.com,Yureha,DelBrown,1953-12-14,F,+49-703-5266,United Kingdom,South,Greater London,London,84419,333 Main Street,,English,Active,2021-11-11,Yes,No,No,2023-08-07,
38,CUST00000031,customer31@email.com,Wuta,vanmuller,1999-06-24,M,+39-987-1191,Germany,South,Baden-Wurttemberg,Stuttgart,32571,663 Main Street,,French,Active,2021-08-20,No,Yes,Yes,2023-03-10,
39,CUST00000032,customer32@email.com,Dawegir,Vanschneider,1994-09-29,M,,Spain,,,,66863,,,,Active,2022-03-18,Yes,Yes,Yes,2022-03-18,2022-03-27
40,CUST00000032,customer32@email.com,Dawegir,Vanschneider,1994-09-29,M,,,,Tuscany,Florence,,804 Main Street  ,,German,Active,2022-03-18,No,No,YES,2022-03-27,2022-04-25
41,CUST00000032,customer32@email.com,Dawegir,VanSchneider,1994-09-29,M,,Italy,West,Lazio,Rome,22606,688 Main Street,,German,Active,2022-03-18,Yes,No,No,2022-04-25,2022-10-02
42,CUST00000032,customer32@email.com,Dawegir,VanSchneider,1994-09-29,M,+45-332-6782,Italy,West,Lazio,Rome,22606,688 Main Street,Apt 310,German,Active,2022-03-18,No,No,Yes,2022-10-02,
43,CUST00000033,customer33@email.com,Wako,Rossi,1982-12-03,F,+42-165-1077,Germany,West,North Rhine-Westphalia,Cologne,89395,  376 Main Street,,French,Active,2024-12-29,Yes,Yes,Yes,2025-01-13,
44,CUST00000034,customer34@email.com,Piregapi,LeJones,1988-12-25,Other,+30-203-4298,Spain,North,Basque Country,Bilbao,27671,463 High Street,Floor 14,Spanish,Active,2023-03-21,No,Yes,Yes,2024-03-16,
45,CUST00000035,customer35@email.com,Vusora,Davis  ,1968-03-18,M,+41-769-7965,Spain,North,Basque Country,San Sebastian,98712,181 High Street,,French,Active  ,2022-09-22,Yes,No,  Yes,2024-06-11,
46,CUST00000036,customer36@email.com,Napogos,VonBrown,1983-12-29,M,,,,Hauts-de-France,,,,,,Active,2021-08-06,No,Yes,Yes,2021-08-06,2021-08-08
47,CUST00000036,customer36@email.com,Napogos,VonBrown,1983-12-29,M,,France,North,Hauts-de-France,,14900,237 Main Street,,Spanish,Active,2021-08-06,Yes,Yes,No,2021-08-08,2022-02-19
48,CUST00000036,customer36@email.com,Napogos,VonBrown,1983-12-29,M,+30-243-2090,France,North,Hauts-de-France,Lille,14900,,,Spanish,active,2021-08-06,Yes,No,Yes,2022-02-19,
49,CUST00000037,customer37@email.com,moyobeg,Becker,1967-12-14,M,,Spain,,Catalonia,,,,,,Active,2022-03-16,Yes,  No,No,2022-03-16,2023-01-15
50,CUST00000037,customer37@email.com,Moyobeg,Becker,1967-12-14,M,,Spain,East,Catalonia,Barcelona,80246,852 Main Street,,  Spanish,Active,2022-03-16,No,No,Yes,2023-01-15,2024-06-08
51,CUST00000037,customer37@email.com,Moyobeg,Becker,1967-12-14,M,+32-688-2686,Spain,East,Catalonia,Barcelona,80246,  852 Main Street,,Spanish,Active,2022-03-16,No,No,Yes,2024-06-08,
52,CUST00000038,customer38@email.com,Jedacu,WestBerg,1968-02-24,Other,+32-492-8993,France,South,Provence-Alpes-Cote d Azur,Marseille,66155,23 High Street,,English,  ACTIVE,2021-07-02,Yes,No,YES,2023-06-15,
53,CUST00000039,customer39@email.com,MichSon,DiTaylor,1970-05-23,Other,+40-955-7972,United Kingdom,South,Greater London,London,43542,439 High Street,,German,Active,2024-03-20,Yes,No,No,2024-07-01,
54,CUST00000040,customer40@email.com,Bovu,VanWilliams,1962-09-02,Other,+41-299-8241,Germany,South,Baden-Wurttemberg,Stuttgart,48851,,,German,Active,2022-01-10,Yes,Yes,No,2024-05-27,
55,CUST00000041,customer41@email.com,GISESON,SOUTHFORD,2004-02-27,F,+43-952-5565,France,North,Ile-de-France,Paris,75122,19 Main Street,,Italian,Active,2022-09-02,Yes,No,Yes,2023-03-05,
56,CUST00000042,customer42@email.com,Kijaluha,Wagner,1962-10-03,F,+37-254-9266,France,South,Provence-Alpes-Cote d Azur,Nice,27056,862 high street,Unit 13,English,Active,2024-06-03,No,No,Yes,2024-08-11,
57,CUST00000043,customer43@email.com,DaviSon,mcwilson,1953-07-06,M,+46-277-5137,Italy,West,Tuscany,Florence,33871,768 Main Street,,French,ACTIVE,2024-09-22,Yes,Yes,Yes,2024-12-09,
58,CUST00000044,customer44@email.com,PatrSen,Schmidt,1959-04-02,M,+38-250-4853,Italy,South,Sicily,Palermo,74743,770 HIGH STREET,Unit 156,german,Active,2024-07-13,Yes,No,Yes,2024-09-06,
59,CUST00000045,customer45@email.com,Lejub,Macweber,1981-01-06,F,+41-286-6189,France,East,Grand Est,Strasbourg,  83732,79 Main Street,,  ENGLISH,Active,2021-08-22,No,Yes,Yes,2023-07-17,
60,CUST00000046,customer46@email.com,Kuyis,VANWILSON,1953-04-06,Other,+43-717-9665,Italy,North,Lombardy,Milan,23413,521 Main Street,,French  ,Active,2024-03-10,No,No,yes,2024-10-06,
61,CUST00000047,customer47@email.com,WillSon,Silverbaker,2001-12-20,F  ,+45-872-7113,Spain,West,Community of Madrid,Madrid,35032,90 High Street,,Italian,Active,2024-08-15,No,No,Yes,2025-01-14,
62,CUST00000048,customer48@email.com,Bohic,Richard,1982-06-22,M,+39-822-6475,France,South,Provence-Alpes-Cote d Azur,Nice,82790,17 High Street  ,,Spanish,Active,2023-08-12,No,yes,Yes,2024-02-10,
63,CUST00000049,customer49@email.com,Ginadi  ,DESCHNEIDER,1990-12-05,M,+37-835-6345,Spain,West,Community of Madrid,Madrid,64705,78 Main Street,,German,Active,2024-02-17,No,Yes,No,2024-03-17,
64,CUST00000050,customer50@email.com,Bolovo,Blacksmith,1971-02-03,F,+40-397-3937,Germany,West,North Rhine-Westphalia,Dusseldorf,63825,887 High Street  ,Building B,German,Active,2023-03-20,No,Yes,No,2025-01-09,
65,CUST00000051,customer51@email.com,Vusora,WestField,1963-12-09,Other,+48-339-3852,Germany,West,North Rhine-Westphalia,Dusseldorf,  81471,284 High Street,,Italian,Active,2022-11-20,No,Yes,Yes,2023-01-14,
66,CUST00000052,customer52@email.com,Wediduy,DaSchneider,1966-07-24,Other,+38-421-6454,United Kingdom,West,West Midlands,Birmingham,78586,226 High Street,Apt 219,German,Active,2023-06-08,No,Yes,Yes,2024-04-24,
67,CUST00000053,customer53@email.com,PatrLey,SCHULZ,1994-03-07,M,+33-582-5931,United Kingdom,East,Norfolk,Norwich,71356,876 High Street,,french,Active,2023-09-11,Yes,No,Yes,2023-12-02,
68,CUST00000054,customer54@email.com,Wiyo,DaFischer,1961-10-07,M,+48-864-8806,United Kingdom,West,Bristol,Bristol,33450,283 Main Street,,Italian,Active,2023-10-14,No,Yes,No,2024-03-14,
69,CUST00000055,customer55@email.com,Gitese,OWilliams,1988-08-14,M,+48-943-1077  ,United Kingdom,North,Merseyside,Liverpool,65525,931 High Street  ,,ITALIAN,Active,2023-08-10,No,NO,No,2024-11-13,
70,CUST00000056,customer56@email.com,WillSon,Grayfisher,1977-08-09,Other,+35-937-2989,United Kingdom,East,Norfolk,Norwich,79057  ,224 High Street,,spanish  ,Active,2021-11-14,No,No,Yes,2024-03-17,
71,CUST00000057,customer57@email.com,Gajit,Redcooper,1991-02-17,F,+34-385-2053,Italy,South,Sicily,Palermo,66457,650 High Street,,Spanish,Active,2024-02-06,No,Yes,Yes,2024-04-05,
72,CUST00000058,customer58@email.com,Weni,DelWilson,1994-07-06,F,,,North,Lombardy,Milan,,,,,Active,2022-09-12,Yes,No,No,2022-09-12,2022-09-20
73,CUST00000058,customer58@email.com,Weni,DelWilson,1994-07-06,F,+39-970-3642  ,,North,Lombardy,,10024,,,French,Active,2022-09-12,No,No,yes,2022-09-20,2023-05-09
74,CUST00000058,customer58@email.com,Weni,DelWilson,1994-07-06,F,+39-970-3642,,West,Community of Madrid,Madrid,54046,812 High Street,,French,Active,2022-09-12,No,Yes,Yes,2023-05-09,2024-12-29
75,CUST00000058,customer58@email.com,  Weni,DelWilson,1994-07-06,  F,+39-970-3642,Spain,West,Castile and Leon,Salamanca,15354,885 Main Street,,French,Active,2022-09-12,No,NO,No,2024-12-29,
76,CUST00000059,customer59@email.com,Linda,DiFischer,1951-02-23,M,+43-432-6486,Spain,West,Community of Madrid,Madrid,30035,,,French,Active,2024-04-29,Yes,No,Yes,2024-07-19,
77,CUST00000060,customer60@email.com,Rogeteli,MacTaylor,2001-04-06,Other  ,+41-795-9662,Spain,South,Andalusia,Malaga,32813,916 Main Street,,German,Active,2024-08-14,Yes,Yes,  Yes,2024-12-10,
78,CUST00000061,customer61@email.com,Kuxose,MacTaylor,1963-03-22,F,+32-207-4314,United Kingdom,West,Bristol,Bristol,70430,,Suite 43,Italian,Active,2024-04-20,No,Yes,Yes,2024-08-01,
79,CUST00000062,customer62@email.com,Yosilic,McSmith,1954-07-07,F,+30-612-7415,Spain,North,Basque Country,Bilbao,86635,  732 High Street,Unit 407,Spanish,Active,2024-09-12,Yes,yes,Yes,2024-10-17,
80,CUST00000063,customer63@email.com,Kijomaw,EastField,1998-09-06,F,,,South,Andalusia,Seville,98940,248 Main Street,Apt 476,,Active,2023-11-09,No,No,Yes,2023-11-09,2023-12-06
81,CUST00000063,customer63@email.com,Kijomaw,EastField,1998-09-06,  F,+32-451-8495,,South,,Seville,98940  ,,Apt 476,English,Active,2023-11-09,No,Yes,Yes,2023-12-06,2024-01-02
82,CUST00000063,customer63@email.com,Kijomaw,EastField,1998-09-06,F,+32-451-8495,,,Catalonia,Barcelona,43874,798 Main Street,,English,Active,2023-11-09,No,No,Yes,2024-01-02,2024-10-01
83,CUST00000063,customer63@email.com,Kijomaw,EastField,1998-09-06,F,+32-451-8495,France,West,Pays de la Loire,Nantes,37712,574 Main Street,,  English,Active,2023-11-09,Yes,Yes,No,2024-10-01,
84,CUST00000064,customer64@email.com,kupipa,VonAnderson,1963-04-29,m,+43-449-6042,Germany,West,North Rhine-Westphalia,Cologne,98955,656 Main Street,,Spanish,Active  ,2023-05-25,No,  YES,Yes,2024-06-26,
85,CUST00000065,customer65@email.com,Andre,FISCHER,2000-08-15,F,+37-582-8431,Spain,North,Basque Country,Bilbao,81107,603 Main Street,,Spanish,Active,2024-10-31,Yes,Yes,Yes,2024-11-11,
86,CUST00000066,customer66@email.com,Bolovo,VonFischer,1973-06-21,M,+42-399-8024,United Kingdom,East,Norfolk,Norwich,45494,460 High Street,,Spanish,Active,2021-11-27,No,No,No,2023-03-02,
87,CUST00000067,customer67@email.com,MichSon  ,DelDavis,1955-11-27,F,+39-348-1068,Italy,North,Veneto,Venice,10924,773 High Street,,Italian,Active,2024-05-26,Yes,Yes,Yes,2024-08-29,
88,CUST00000068,customer68@email.com,Zovociyo,SouthWood,2002-05-26,F,,Italy,South,Sicily,Palermo,,608 Main Street,,,Active,2021-10-25,No,Yes,Yes,2022-03-06,2024-01-09
89,CUST00000068,customer68@email.com,Zovociyo,  SouthWood,2002-05-26,F,+39-423-3325,Spain,North,Basque Country,San Sebastian,43380,278 Main Street,Unit 348,Spanish,Active,2021-10-25,No,Yes,Yes,2024-01-09,
90,CUST00000069,customer69@email.com,GiseSen,MacTaylor,1963-09-24,M,+31-651-7657,France,North,Ile-de-France,Paris,34836,154 Main Street,,German,Active,2022-05-14,Yes,No,No,2023-06-12,
91,CUST00000070,customer70@email.com,PatrSen,Silversmith,1987-10-15,Other,+31-643-7213,Germany,West,North Rhine-Westphalia,Cologne,24250,646 High Street,Unit 239,Italian,Active,2023-03-27,No,No,No,2024-05-06,
92,CUST00000071,customer71@email.com,WELOTOKI,VanFischer,1987-05-11,Other,+42-595-3866,Italy,East,Emilia-Romagna,Bologna,82717,522 Main Street,apt 474,French,Active,2022-05-27,No,Yes,Yes,2024-09-09,
93,CUST00000072,customer72@email.com,Dihecada,DaMuller,1988-10-06,Other,+35-258-5153,Italy,West,Lazio,Rome,19698  ,347 High Street,Building B,German,Active,2022-08-30,No,Yes,Yes,2023-12-07,
94,CUST00000073,customer73@email.com,Caxaha,Graycooper,1953-12-11,Other,+37-635-2587,United Kingdom,North,Greater Manchester,Manchester,16680,108 Main Street  ,,German,Active,2022-06-12,No,YES,Yes,2022-11-22,
95,CUST00000074,customer74@email.com,IngrLey,NorthHill,1974-05-21,Other,+33-269-9160,Germany,North,Bremen,Bremen,58315,594 High Street,,French,Active,2021-03-02,No,Yes  ,Yes,2022-02-17,
96,CUST00000075,customer75@email.com,Sodikos,WestDale,1967-12-15,M  ,+37-881-2039,Spain,North,Basque Country,Bilbao,53726,173 High Street,Suite 153,Spanish,Active,2021-04-26,No,Yes,No,2021-07-30,
97,CUST00000076,customer76@email.com,Kuwom,McJohnson,1960-10-08,M,+44-244-4436,United Kingdom,East,Norfolk,Norwich,53713,344 Main Street,Apt 346,English,ACTIVE,2023-07-04,Yes,No,No,2024-11-23,
98,CUST00000077,customer77@email.com,WillSon,  Smith,2004-08-19,F,+37-734-5441,Spain,East,Catalonia,Barcelona,20772,642 HIGH STREET,Floor 19,German,Active,2024-07-04,Yes,Yes,No,2024-12-03,
99,CUST00000078,customer78@email.com,Lohayi,DeSchmidt,1992-05-29,M,+43-257-8513,Germany,East,Saxony,Dresden,64147,259 Main Street,Suite 484,Spanish,Active,2022-11-22,Yes,No,No,2024-12-28,
100,CUST00000079,customer79@email.com,Pudoyi,VonWilson,1969-01-25,F,+43-258-9096,Italy,North,Veneto,Venice,17941,901 High Street,,Italian,Active,2021-08-07,No,Yes,YES,2021-12-21,
101,CUST00000080,customer80@email.com,Michel,  Whitesmith,1971-08-12,Other,,,South,,Marseille,,,,Italian,Active,2023-06-07,Yes,Yes,Yes,2023-06-07,2023-07-02
102,CUST00000080,customer80@email.com,Michel,Whitesmith,1971-08-12,Other,,United Kingdom,North,Greater Manchester,Manchester,81450,,Building C,Italian,Active,2023-06-07,No,Yes,Yes,2023-07-02,2023-10-20
103,CUST00000080,customer80@email.com,Michel,Whitesmith,1971-08-12,Other,+32-309-2846,France,East,Auvergne-Rhone-Alpes,Lyon,  19022,850 MAIN STREET,,Italian,Active,2023-06-07,Yes,No,No,2023-10-20,
104,CUST00000081,customer81@email.com,Xabu,VanBrown,1968-12-25,M,+38-492-4158,Italy,North,Lombardy,Milan,48359,165 Main Street,,Italian,Active  ,2021-08-07,No,Yes,No,2022-09-09,
105,CUST00000082,customer82@email.com,Kuyis,OSchmidt,1956-07-06,F,+30-913-8718,Spain,North,Basque Country,Bilbao,91291,563 High Street,,Spanish,Active,2024-04-13,Yes,Yes,Yes,2024-04-13,2024-10-10
106,CUST00000082,customer82@email.com,Kuyis  ,OSchmidt,1956-07-06,F  ,+30-913-8718,Germany,South,Bavaria,Nuremberg,63337,860 High Street,Floor 2,Spanish,Active,2024-04-13,No,YES,Yes,2024-10-10,
107,CUST00000083,customer83@email.com,Dasoxev,DaWilliams,2000-04-19,Other,  +34-500-2913,Germany,West,North Rhine-Westphalia,Dusseldorf,34419,165 High Street,,English,Active,2024-01-18,No,No,Yes,2024-11-07,
108,CUST00000084,customer84@email.com,DaviSen,Dubois,1977-07-31,f,+47-357-5784,Germany,North,Hamburg,Hamburg,90033,119 High Street,,Italian,active,2023-02-01,Yes,No,No,2023-04-23,
109,CUST00000085,customer85@email.com,Yunaxay,  DaSchmidt,1986-07-13,F,+46-112-2929,Spain,West,Castile and Leon,Salamanca,39511,326 High Street,  Suite 240,French,Active,2021-10-13,No,YES,No,2022-12-31,
110,CUST00000086,customer86@email.com,DaviTon,otaylor,1984-12-13,F,+41-978-8113,Italy,East,Emilia-Romagna,Bologna,46939,964 Main Street,,English,Active,2023-01-18,Yes,No,Yes,2023-09-14,
111,CUST00000087,customer87@email.com,PETRA,DiMiller,1954-08-03,F,+49-231-9297,France,East,Auvergne-Rhone-Alpes,Lyon,72387,972 Main Street,Suite 54,English,Active,2022-03-30,Yes,Yes,No,2022-08-11,
112,CUST00000088,customer88@email.com,Kakoba,Bluesmith,1955-04-26,Other,+42-663-8869,United Kingdom,West,West Midlands,Birmingham,39194,,Unit 185,  Italian,Active,2021-07-30,Yes,Yes,No,2022-03-20,
113,CUST00000089,customer89@email.com,Savih,Becker,1979-09-12,M,+34-864-2050,Italy,South,Campania,,,742 High Street,,,Active,2022-03-23,Yes,No,No,2022-03-23,2022-04-06
114,CUST00000089,customer89@email.com,Savih,Becker,1979-09-12,M,+34-864-2050,Italy,,Campania,Naples,46079,742 High Street,Floor 3,,ACTIVE,2022-03-23,Yes,Yes,No,2022-04-06,2023-08-12
115,CUST00000089,customer89@email.com,Savih,Becker,1979-09-12,M,+34-864-2050  ,,South,Campania,Naples,46079,742 High Street,,German,Active,2022-03-23,No,No,No,2023-08-12,2024-11-21
116,CUST00000089,customer89@email.com,Savih,Becker,1979-09-12,M,+34-864-2050,Italy,North,Piedmont,Turin,38210,120 High Street,,german,Active,2022-03-23,Yes,  No,Yes,2024-11-21,
117,CUST00000090,customer90@email.com,kuzi,DeWilson,1996-01-30,  Other,+39-930-7915,Germany,West,North Rhine-Westphalia,Dusseldorf,30125,316 High Street,,English,  Active,2022-01-31,Yes,  No,No,2023-05-15,
118,CUST00000091,customer91@email.com,Mary,VanWilliams,2001-08-04,Other,+40-479-3226,Germany,East,Saxony,Leipzig,84898,977 Main Street,Apt 222  ,French,Active,2022-12-08,Yes,no,No,2023-07-21,
119,CUST00000092,customer92@email.com,Gihacuji,MacSmith,1958-06-25,M,+45-132-1291,United Kingdom,South,Greater London,London,50793,32 High Street,,English,Active,2024-05-21,Yes,Yes,No,2024-06-19,
120,CUST00000093,customer93@email.com,Gidavame,LeTaylor,1950-07-01,M,+46-555-7450,Italy,South,Campania,Naples,13072,51 Main Street,,  Spanish,Active,2024-09-17,No,yes,No  ,2024-10-12,
121,CUST00000094,customer94@email.com,Cizav,WestBrook,2004-04-09,F,+38-404-2136,Italy,West,Lazio,Rome,89866,233 Main Street,,German,Active,2022-07-02,Yes,Yes,no,2023-05-12,
122,CUST00000095,customer95@email.com,Sana,MacWilson,1994-09-14,Other,+33-510-8784  ,Spain,West,Community of Madrid,Madrid,89958,18 Main Street,,Italian,Active,2023-09-12,Yes,No,No,2024-06-27,
123,CUST00000096,customer96@email.com,Nivop,DELANDERSON,1950-08-18,Other,+32-581-8703,Germany,North,Hamburg,Hamburg,88435,24 High Street,,Italian,Active,2024-10-07,No,No,Yes,2025-01-12,
124,CUST00000097,customer97@email.com,Bozab,Goldcooper,1978-08-24,M,+38-347-3620,France,East,Grand Est,Strasbourg,27782,,,French,Active,2023-09-30,Yes,Yes,No,2024-03-25,
125,CUST00000098,customer98@email.com,Taji,Damuller,1988-08-22,F,+45-616-1663,Germany,West,North Rhine-Westphalia,Dusseldorf,68523,926 High Street,,  French,Active,2023-07-20,Yes,Yes,yes,2024-12-10,
126,CUST00000099,customer99@email.com,Xuxuy,McSmith,1972-09-30,M,+35-654-3613,France,West,Pays de la Loire,Nantes,11213,548 Main Street,Suite 201,ENGLISH  ,Active,2022-05-17,Yes,Yes,Yes,2023-06-15,
127,CUST00000100,customer100@email.com,Andre,MacBrown,1956-02-19,M,+49-875-9288,United Kingdom,North,Greater Manchester,Manchester,17140,809 High Street,,Spanish,Active,2022-10-06,No,Yes,No,2023-04-28,
128,CUST00000101,customer101@email.com,Suhuxako,LeWilliams,2004-05-30,Other,+46-253-6113,Italy,South,Sicily,Palermo,51947,630 HIGH STREET,,German,Active  ,2024-08-21,No,Yes,No,2024-10-29,
129,CUST00000102,customer102@email.com,Wukogek,DelBrown,1982-06-29,Other,+37-645-3021,United Kingdom,North,Greater Manchester,Manchester,43635,599 High Street  ,Apt 205,German,Active  ,2024-07-11,Yes,No,No,2024-08-12,
